Medicine_ID,Medicine_Name,Generic_Name,Brand_Name,Allergen_Class,Active_Ingredients,Cross_Reactive_With,Contraindicated_Allergies,Dosage,Form,Route,Manufacturer,Requires_Allergy_Check
MED0001,Amoxicillin 5mg,Amoxicillin,AmoxicillinBrand2,Beta-lactam,Amoxicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,5mg,Patch,Subcutaneous,Pharma Co 3,True
MED0002,Ibuprofen 250mg,Ibuprofen,IbuprofenBrand1,NSAID,Ibuprofen,Aspirin|Ketoprofen,NSAID,250mg,Cream,Inhalation,Pharma Co 19,True
MED0003,Cetirizine 5mg,Cetirizine,CetirizineBrand5,Antihistamine,Cetirizine HCl,None,Antihistamine,5mg,Cream,Subcutaneous,Pharma Co 4,False
MED0004,Metformin 50mg,Metformin,MetforminBrand5,Biguanide,Metformin HCl,None,Biguanide,50mg,Cream,Topical,Pharma Co 17,False
MED0005,Atorvastatin 10mg,Atorvastatin,AtorvastatinBrand5,Statin,Atorvastatin calcium,None,Statin,10mg,Injection,IM,Pharma Co 7,True
MED0006,Ciprofloxacin 500mg,Ciprofloxacin,CiprofloxacinBrand5,Fluoroquinolone,Ciprofloxacin HCl,Ofloxacin,Fluoroquinolone,500mg,Capsule,IM,Pharma Co 8,True
MED0007,Azithromycin 250mg,Azithromycin,AzithromycinBrand3,Macrolide,Azithromycin dihydrate,Erythromycin,Macrolide,250mg,Syrup,IM,Pharma Co 4,True
MED0008,Sulfamethoxazole 10mg,Sulfamethoxazole,SulfamethoxazoleBrand2,Sulfonamide,Sulfamethoxazole|Trimethoprim,None,Sulfonamide,10mg,Inhaler,Topical,Pharma Co 12,True
MED0009,Cephalexin 1g,Cephalexin,CephalexinBrand1,Cephalosporin,Cephalexin monohydrate,Beta-lactam|Penicillin,Cephalosporin,1g,Cream,Inhalation,Pharma Co 3,True
MED0010,Lisinopril 10mg,Lisinopril,LisinoprilBrand3,ACE-Inhibitor,Lisinopril,Enalapril,ACE-Inhibitor,10mg,Cream,IV,Pharma Co 15,True
